feature,outcome,r,p_value,n,method,x_normal,y_normal
entropy_rate_fetus_mHR_accel,Mother Score PDQ,0.0755779364839406,0.42835929241358994,112,spearman,True,False
entropy_rate_fetus_mHR_accel,Mother CORTISOL (pg/mg of maternal hair),-0.0038914955076003598,0.9718032680125696,85,spearman,True,False
entropy_rate_fetus_mHR_accel,COG COMPOSITE SCORE,-0.0189480256172277,0.8818614622903119,64,spearman,True,False
entropy_rate_fetus_mHR_accel,LANG RECEPT SCORE,-0.07874040823677086,0.556848863541673,58,pearson,True,True
entropy_rate_fetus_mHR_accel,LANG EXPRES SCORE,-0.048167492424947556,0.7195533969606038,58,pearson,True,True
entropy_rate_fetus_mHR_accel,LANG COMP SCORE,-0.029337221061600485,0.826954697153917,58,pearson,True,True
entropy_rate_fetus_mHR_accel,MOTOR FINE  SKILLS SCORE,0.1538777790809526,0.23243715433736267,62,pearson,True,True
entropy_rate_fetus_mHR_accel,MOTOR GROSS SKILLS SCORE,-0.06551767091053519,0.6099355165183051,63,spearman,True,False
entropy_rate_fetus_mHR_accel,MOTOR COMPOSITE SCORE,0.07201135490562802,0.5780731059328602,62,pearson,True,True
entropy_rate_mother_mHR_accel,Mother Score_PSS,-0.00023521935679413091,0.9980360880610506,112,spearman,True,False
entropy_rate_mother_mHR_accel,Mother Score PDQ,0.11293269628344076,0.23579752637656212,112,spearman,True,False
entropy_rate_mother_mHR_accel,Mother CORTISOL (pg/mg of maternal hair),0.15284929577074746,0.16254685735838892,85,spearman,True,False
entropy_rate_mother_mHR_accel,COG COMPOSITE SCORE,-0.007198392084976208,0.9549810565389057,64,spearman,True,False
entropy_rate_mother_mHR_accel,LANG RECEPT SCORE,-0.2627817615676073,0.046272770396607196,58,pearson,True,True
entropy_rate_mother_mHR_accel,LANG EXPRES SCORE,-0.04797507318724352,0.7206279196029314,58,pearson,True,True
entropy_rate_mother_mHR_accel,LANG COMP SCORE,-0.13294947565112047,0.3197862489791173,58,pearson,True,True
entropy_rate_mother_mHR_accel,MOTOR FINE  SKILLS SCORE,0.11607142355719378,0.3689780437711564,62,pearson,True,True
entropy_rate_mother_mHR_accel,MOTOR GROSS SKILLS SCORE,-0.11529550715829397,0.3682213665273968,63,spearman,True,False
entropy_rate_mother_mHR_accel,MOTOR COMPOSITE SCORE,-0.016241200367241686,0.9002947574624955,62,pearson,True,True
entropy_rate_fetus_mHR_decel,Mother Score_PSS,-0.07663274136140369,0.4305306084510644,108,spearman,True,False
entropy_rate_fetus_mHR_decel,Mother Score PDQ,0.0697661217513808,0.473084692696495,108,spearman,True,False
entropy_rate_fetus_mHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.015426697114536316,0.8905895440488365,82,spearman,True,False
entropy_rate_fetus_mHR_decel,COG COMPOSITE SCORE,-0.03527003175001041,0.7855071755514694,62,spearman,True,False
entropy_rate_fetus_mHR_decel,LANG RECEPT SCORE,-0.04245107976084857,0.7560667840627108,56,pearson,True,True
entropy_rate_fetus_mHR_decel,LANG EXPRES SCORE,-0.020152249653503693,0.8828011446759615,56,pearson,True,True
entropy_rate_fetus_mHR_decel,LANG COMP SCORE,0.007246182517772093,0.9577294299663066,56,pearson,True,True
entropy_rate_fetus_mHR_decel,MOTOR FINE  SKILLS SCORE,0.1795057715504909,0.16994742113028954,60,pearson,True,True
entropy_rate_fetus_mHR_decel,MOTOR GROSS SKILLS SCORE,-0.021316378211923087,0.8704708221612424,61,spearman,True,False
entropy_rate_fetus_mHR_decel,MOTOR COMPOSITE SCORE,0.10975558073888331,0.40382737022004184,60,pearson,True,True
entropy_rate_mother_mHR_decel,Mother Score_PSS,-0.00999495282250779,0.9182292541266606,108,spearman,True,False
entropy_rate_mother_mHR_decel,Mother Score PDQ,0.11777147176545823,0.22478403156345858,108,spearman,True,False
entropy_rate_mother_mHR_decel,Mother CORTISOL (pg/mg of maternal hair),0.1843090110130458,0.09739812118257926,82,spearman,True,False
entropy_rate_mother_mHR_decel,COG COMPOSITE SCORE,-0.001635711617391787,0.9899329618146209,62,spearman,True,False
entropy_rate_mother_mHR_decel,LANG RECEPT SCORE,-0.12234029831078325,0.3690561464187091,56,spearman,False,True
entropy_rate_mother_mHR_decel,LANG EXPRES SCORE,-0.018732689602071483,0.8910048335241805,56,spearman,False,True
entropy_rate_mother_mHR_decel,LANG COMP SCORE,-0.01687746454985115,0.9017432338004581,56,spearman,False,True
entropy_rate_mother_mHR_decel,MOTOR FINE  SKILLS SCORE,0.03326932964818737,0.800769072715974,60,spearman,False,True
entropy_rate_mother_mHR_decel,MOTOR GROSS SKILLS SCORE,-0.1451825456779276,0.26425908683211147,61,spearman,False,False
entropy_rate_mother_mHR_decel,MOTOR COMPOSITE SCORE,-0.04157059014112013,0.7524829597449958,60,spearman,False,True
sampen_fetus_full,Mother Score_PSS,-0.01029469745431442,0.9119006220779795,118,spearman,False,False
sampen_fetus_full,Mother Score PDQ,0.020848865198169263,0.8226871898399636,118,spearman,False,False
sampen_fetus_full,Mother CORTISOL (pg/mg of maternal hair),-0.024373675263001743,0.819622435224225,90,spearman,False,False
sampen_fetus_full,COG COMPOSITE SCORE,-0.0033451259032977105,0.9789015728207588,65,spearman,False,False
sampen_fetus_full,LANG RECEPT SCORE,0.05465674487015357,0.6809615590186071,59,spearman,False,True
sampen_fetus_full,LANG EXPRES SCORE,-0.11514060401011815,0.3851852816041975,59,spearman,False,True
sampen_fetus_full,LANG COMP SCORE,0.03154702125853982,0.8125081368633804,59,spearman,False,True
sampen_fetus_full,MOTOR FINE  SKILLS SCORE,0.0681020016101176,0.5958797591841789,63,spearman,False,True
sampen_fetus_full,MOTOR GROSS SKILLS SCORE,0.03233951274059045,0.7997402000640593,64,spearman,False,False
sampen_fetus_full,MOTOR COMPOSITE SCORE,0.047344572945711094,0.712524643091168,63,spearman,False,True
sampen_mother_full,Mother Score_PSS,-0.0785688384044373,0.397720692938047,118,spearman,True,False
sampen_mother_full,Mother Score PDQ,0.030252800711238235,0.7450254267852765,118,spearman,True,False
sampen_mother_full,Mother CORTISOL (pg/mg of maternal hair),-0.05230149963811354,0.6244345907912634,90,spearman,True,False
sampen_mother_full,COG COMPOSITE SCORE,0.08167867023482554,0.5177489249670693,65,spearman,True,False
sampen_mother_full,LANG RECEPT SCORE,0.003157005257006811,0.9810674803889651,59,pearson,True,True
sampen_mother_full,LANG EXPRES SCORE,0.0963943716493619,0.4676726807254565,59,pearson,True,True
sampen_mother_full,LANG COMP SCORE,0.08669111600129105,0.5138397523135166,59,pearson,True,True
sampen_mother_full,MOTOR FINE  SKILLS SCORE,0.014349295280858711,0.9111255195199807,63,pearson,True,True
sampen_mother_full,MOTOR GROSS SKILLS SCORE,-0.08743990468537792,0.4920512448410994,64,spearman,True,False
sampen_mother_full,MOTOR COMPOSITE SCORE,-0.017649373025147068,0.8907992380382886,63,pearson,True,True
sampen_fetus_fHR_accel,Mother Score_PSS,-0.018763748795908215,0.8401712325940374,118,spearman,False,False
sampen_fetus_fHR_accel,Mother Score PDQ,-0.14642527758066756,0.11360531265217615,118,spearman,False,False
sampen_fetus_fHR_accel,Mother CORTISOL (pg/mg of maternal hair),-0.15631437900182074,0.14122086138803683,90,spearman,False,False
sampen_fetus_fHR_accel,COG COMPOSITE SCORE,0.07524951311265411,0.551338883213595,65,spearman,False,False
sampen_fetus_fHR_accel,LANG RECEPT SCORE,0.29028743075703795,0.02572773297904705,59,spearman,False,True
sampen_fetus_fHR_accel,LANG EXPRES SCORE,0.20922455252052904,0.11175456096458551,59,spearman,False,True
sampen_fetus_fHR_accel,LANG COMP SCORE,0.12286892540238122,0.3538744434858677,59,spearman,False,True
sampen_fetus_fHR_accel,MOTOR FINE  SKILLS SCORE,0.14684108619899602,0.2507978299223266,63,spearman,False,True
sampen_fetus_fHR_accel,MOTOR GROSS SKILLS SCORE,-0.06988535376223114,0.583187053163259,64,spearman,False,False
sampen_fetus_fHR_accel,MOTOR COMPOSITE SCORE,0.23023007263464967,0.06948216472344088,63,spearman,False,True
sampen_mother_fHR_accel,Mother Score_PSS,-0.0188057070892801,0.8398186066708375,118,spearman,False,False
sampen_mother_fHR_accel,Mother Score PDQ,-0.14435219242863132,0.11886536119386376,118,spearman,False,False
sampen_mother_fHR_accel,Mother CORTISOL (pg/mg of maternal hair),-0.1537298380563322,0.1479984481472422,90,spearman,False,False
sampen_mother_fHR_accel,COG COMPOSITE SCORE,0.07524951311265411,0.551338883213595,65,spearman,False,False
sampen_mother_fHR_accel,LANG RECEPT SCORE,0.29028743075703795,0.02572773297904705,59,spearman,False,True
sampen_mother_fHR_accel,LANG EXPRES SCORE,0.20922455252052904,0.11175456096458551,59,spearman,False,True
